severity,category,model_id,test_case_id,test_case_name,adapter_status,language,cer,wer,rtf,duration_sec,sample_rate,peak_dbfs,rms_dbfs,clipping_fraction,near_silence_fraction,noise_floor_dbfs,noise_to_speech_db,speech_rate_tps,speech_rate_score,duration_error,generated_audio_path,diagnosis,suggested_action
low,slow_generation,mlx_indextts2_v25_8bit,core_ja_reading,日语汇率新闻朗读,success,ja,0.125,0.125,2.0229,5.0271,22050,-1.481,-20.213,0.0,0.156737,-46.521,30.06,6.3655,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_indextts2_v25_8bit/core_ja_reading.wav,RTF=2.0229，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_indextts2_v25_8bit,scenema_clone_tarkin_en,英文表演式参考音色克隆,success,en,0.0,0.0,2.3669,5.7818,22050,-1.537,-20.162,0.0,0.306868,-99.627,83.843,2.2484,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_indextts2_v25_8bit/scenema_clone_tarkin_en.wav,RTF=2.3669，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_ming_omni_tts_16_8b_a3b_bf16,control_emotion_happy,中文开心情绪标签控制,success,zh,0.0,0.0,3.1698,2.56,44100,-4.678,-21.268,0.0,0.375089,-89.157,72.997,3.9062,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_ming_omni_tts_16_8b_a3b_bf16/control_emotion_happy.wav,RTF=3.1698，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
medium,high_content_error,mlx_scenema_audio_int8_mlx_mps_service,core_ja_reading,日语汇率新闻朗读,success,ja,0.3125,0.3125,1.6469,7.2,48000,-8.775,-23.756,0.0,0.434172,-93.188,74.624,4.4444,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/core_ja_reading.wav,CER=0.3125，WER=0.3125。,复核 ASR 转写与音频；若音频确实错读，调整 prompt、语言参数或模型筛选。
medium,high_content_error,mlx_scenema_audio_int8_mlx_mps_service,core_zh_en_codeswitch,中英混读品牌与订单号朗读,success,zh_en,0.2571,0.1481,0.8685,5.01,48000,-6.599,-22.029,0.0,0.242278,-84.075,65.733,5.3892,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/core_zh_en_codeswitch.wav,CER=0.2571，WER=0.1481。,复核 ASR 转写与音频；若音频确实错读，调整 prompt、语言参数或模型筛选。
medium,high_content_error,mlx_scenema_audio_int8_mlx_mps_service,stress_long_zh,中文长文本连续稳定性,success,zh,0.2857,0.2857,0.6752,15.01,48000,-8.195,-22.678,0.0,0.241762,-89.922,72.03,5.5963,96.148,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/stress_long_zh.wav,CER=0.2857，WER=0.2857。,复核 ASR 转写与音频；若音频确实错读，调整 prompt、语言参数或模型筛选。
medium,high_content_error,mlx_scenema_audio_int8_mlx_mps_service,xling_en_to_ja,英文参考音色说日语克隆,success,ja,0.2857,0.2857,1.1967,8.3127,48000,-9.242,-23.485,0.0,0.328354,,,4.2104,100.0,,results/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/xling_en_to_ja.wav,CER=0.2857，WER=0.2857。,复核 ASR 转写与音频；若音频确实错读，调整 prompt、语言参数或模型筛选。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,clone_3s_en,三秒英文短参考音色克隆,success,en,0.0,0.0,2.7417,8.6959,48000,-3.895,-23.743,0.0,0.426838,-90.312,71.621,1.8399,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/clone_3s_en.wav,RTF=2.7417，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,clone_en_same,英文参考音色克隆,success,en,0.0,0.0,2.3196,8.3708,48000,-4.191,-24.484,0.0,0.327271,-72.91,53.052,1.6725,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/clone_en_same.wav,RTF=2.3196，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,clone_zh_same,中文参考音色克隆,success,zh,0.1,0.1,3.8007,10.0891,48000,-4.636,-23.641,0.0,0.290665,-74.446,55.123,2.9735,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/clone_zh_same.wav,RTF=3.8007，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,control_emotion_angry,中文愤怒情绪标签控制,success,zh,0.0455,0.0455,3.4471,5.7999,48000,-5.381,-20.002,0.0,0.357437,-94.888,80.215,3.7932,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/control_emotion_angry.wav,RTF=3.4471，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,control_emotion_happy,中文开心情绪标签控制,success,zh,0.0,0.0,3.6614,4.45,48000,-7.581,-20.0,0.0,0.315203,-94.373,79.282,2.2472,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/control_emotion_happy.wav,RTF=3.6614，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,control_emotion_sad,中文悲伤情绪标签控制,success,zh,0.0,0.0,2.8548,7.1299,48000,-3.647,-20.001,0.0,0.359317,-94.531,79.363,3.5064,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/control_emotion_sad.wav,RTF=2.8548，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,control_voice_design_sports,西语体育解说角色音色设计,success,es,0.0926,0.1667,2.4404,6.69,48000,-12.715,-24.355,0.0,0.247463,-60.815,40.504,1.7937,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/control_voice_design_sports.wav,RTF=2.4404，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,core_ko_customer,韩语客服确认话术朗读,success,ko,0.0,0.0,5.0327,6.3971,48000,-5.809,-24.389,0.0,0.443133,-68.789,49.566,1.2506,65.06,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/core_ko_customer.wav,RTF=5.0327，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,scenema_action_emotion_arc_en,英文动作标签情绪弧专项,success,en,0.0,0.0,4.3418,6.68,48000,-8.21,-23.576,0.0,0.391517,-95.092,76.569,2.0958,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/scenema_action_emotion_arc_en.wav,RTF=4.3418，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,scenema_clone_tarkin_en,英文表演式参考音色克隆,success,en,0.0,0.0,5.517,7.9761,48000,-4.615,-23.394,0.0,0.341339,-90.31,72.035,1.6299,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/scenema_clone_tarkin_en.wav,RTF=5.517，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,scenema_longform_en,英文长文本角色连续性,success,en,0.015,0.0526,2.8001,18.3554,48000,-6.589,-22.659,0.0,0.304938,-83.408,65.651,2.0702,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/scenema_longform_en.wav,RTF=2.8001，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,scenema_polyglot_obama_es,英文参考音色说西语克隆,success,es,0.0,0.0,4.5256,6.5713,48000,-5.514,-24.134,0.0,0.339737,-58.661,40.359,1.6739,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/scenema_polyglot_obama_es.wav,RTF=4.5256，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,scenema_scene_sfx_en,英文场景音效与台词专项,success,en,0.0,0.0,3.9246,5.0,48000,-10.321,-24.635,0.0,0.242809,-51.2,31.812,2.2,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/scenema_scene_sfx_en.wav,RTF=3.9246，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,voxcpm2_song_en_pop,英文流行歌曲风格生成,success,en,0.0,0.0,3.4404,6.01,48000,-8.582,-20.045,0.0,0.108423,-45.261,28.308,1.9967,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/voxcpm2_song_en_pop.wav,RTF=3.4404，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,voxcpm2_song_zh_female,中文女声歌曲风格生成,success,zh,0.0,0.0,3.335,13.73,48000,-8.159,-20.037,0.0,0.172879,-52.703,36.041,2.0393,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/voxcpm2_song_zh_female.wav,RTF=3.335，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,xling_en_to_zh,英文参考音色说中文克隆,success,zh,0.0,0.0,4.4769,6.0256,48000,-1.645,-24.69,0.0,0.367599,-84.288,63.521,3.3192,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/xling_en_to_zh.wav,RTF=4.4769，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
low,slow_generation,mlx_scenema_audio_int8_mlx_mps_service,xling_zh_to_en,中文参考音色说英文克隆,success,en,0.0,0.0,3.289,7.0473,48000,-10.908,-23.384,0.0,0.249618,-65.367,46.223,1.7028,100.0,,/Users/vanch/tts-test-project/results/generated/v02_plus_vieneu_lux_scenema_20260610_091619/mlx_scenema_audio_int8_mlx_mps_service/xling_zh_to_en.wav,RTF=3.289，生成慢于实时 2 倍以上。,优先作为性能优化项，不一定代表音频内容异常。
